title_clean,lat,long,country
I Escaped from Devil's Island,5.155,-54.343,French_Guiana
Devil's Island (1939 film),4.273,-54.381,French_Guiana
Condemned (1929 film),5.377,-52.957,French_Guiana
Adrift (2018 film),-17.55,-149.6,French_Polynesia
Godzilla (1998 film),-17.537,-149.566,French_Polynesia
"Six Days, Seven Nights",-17.633,-149.6,French_Polynesia
Mutiny on the Bounty (1962 film),-17.517,-149.533,French_Polynesia
Kon-Tiki (2012 film),-17.506,-149.489,French_Polynesia
Mutiny on the Bounty (1935 film),-17.683,-149.583,French_Polynesia
Donovan's Reef,-17.75,-149.55,French_Polynesia
The Bounty (1984 film),-17.517,-149.5,French_Polynesia
Love Affair (1994 film),-17.744,-149.324,French_Polynesia
How to Stuff a Wild Bikini,-16.507,-151.749,French_Polynesia
The Rhythm of My Life: Ismael Sankara,0.392,9.454,Gabon
Roots (1977 miniseries),13.438,-16.678,Gambia
The Mirror Boy,13.271,-16.649,Gambia
"Gambia, The Smiling Coast",13.478,-16.682,Gambia
Mom ,41.694,44.834,Georgia
Undisputed III: Redemption,42.268,42.695,Georgia
Sniper: Ghost Shooter,41.642,41.634,Georgia
5 Days of War,43.007,40.989,Georgia
Ali and Nino ,42.509,41.871,Georgia
Don't Breathe (2014 film),41.549,44.993,Georgia
The Loneliest Planet,42.146,41.672,Georgia
August Eighth,41.984,44.116,Georgia
"Tbilisi, I Love You",42.228,43.969,Georgia
A Chef in Love,42.154,42.335,Georgia
Captain America: Civil War,52.524,13.411,Germany
Wonder Woman (2017 film),53.575,10.015,Germany
X-Men: Apocalypse,48.137,11.575,Germany
Spider-Man: Homecoming,50.933,6.95,Germany
The Avengers (2012 film),50.116,8.684,Germany
Transformers: The Last Knight,51.457,7.012,Germany
The Fate of the Furious,48.782,9.177,Germany
Bohemian Rhapsody ,51.515,7.466,Germany
The Danish Girl ,51.222,6.776,Germany
Mission: Impossible – Fallout,53.075,8.808,Germany
Sankofa ,5.556,-0.197,Ghana
Deadly Voyage,6.688,-1.624,Ghana
Adams Apples,9.401,-0.839,Ghana
The Cursed Ones,4.898,-1.76,Ghana
2016 (2010 film),5.698,-0.328,Ghana
Love Brewed in the African Pot,5.67,-0.017,Ghana
Location Africa,5.105,-1.247,Ghana
Emmanuel's Gift,4.927,1.758,Ghana
Jaguar (1967 film),6.202,-1.668,Ghana
Checkmate (2010 film),5.666,-0.163,Ghana
Jason Bourne ,37.984,23.728,Greece
Mamma Mia! Here We Go Again,40.644,22.931,Greece
300,38.244,21.734,Greece
